iter	Passed	Remaining
0	301	905281
1	350	525401
2	413	412631
3	503	377361
4	617	370002
5	715	357003
6	793	339207
7	865	323547
8	940	312596
9	1028	307480
10	1084	294786
11	1138	283577
12	1225	281513
13	1285	274230
14	1341	266975
15	1404	261990
16	1455	255454
17	1516	251299
18	1588	249269
19	1659	247279
20	1718	243850
21	1786	241809
22	1853	239919
23	1891	234497
24	1963	233599
25	2035	232855
26	2110	232351
27	2187	232158
28	2266	232177
29	2341	231800
30	2405	230341
31	2490	231013
32	2578	231803
33	2664	232470
34	2756	233531
35	2804	230870
36	2858	228897
37	2930	228386
38	3003	228004
39	3063	226717
40	3154	227643
41	3197	225174
42	3243	223050
43	3295	221418
44	3376	221749
45	3423	219840
46	3468	217921
47	3533	217323
48	3606	217200
49	3658	215880
50	3737	216113
51	3781	214387
52	3848	213991
53	3885	211970
54	3929	210383
55	3990	209808
56	4042	208694
57	4100	208018
58	4139	206363
59	4192	205412
60	4258	205162
61	4316	204564
62	4364	203490
63	4415	202574
64	4472	201940
65	4512	200582
66	4561	199691
67	4637	199967
68	4717	200402
69	4796	200749
70	4844	199850
71	4909	199670
72	4975	199489
73	5020	198524
74	5078	198057
75	5156	198398
76	5238	198876
77	5302	198633
78	5361	198242
79	5429	198183
80	5478	197437
81	5520	196445
82	5588	196389
83	5654	196299
84	5713	195923
85	5777	195759
86	5820	194887
87	5872	194316
88	5929	193953
89	5984	193493
90	6034	192908
91	6073	191964
92	6140	191942
93	6188	191308
94	6246	191003
95	6306	190778
96	6356	190245
97	6406	189714
98	6467	189523
99	6524	189221
100	6598	189393
101	6656	189125
102	6716	188909
103	6765	188394
104	6817	187961
105	6861	187335
106	6940	187655
107	6986	187093
108	7035	186594
109	7085	186155
110	7149	186083
111	7198	185629
112	7253	185306
113	7329	185556
114	7405	185774
115	7459	185454
116	7529	185542
117	7582	185185
118	7653	185281
119	7729	185507
120	7786	185260
121	7831	184754
122	7895	184674
123	7974	184958
124	8039	184912
125	8115	185119
126	8185	185172
127	8247	185042
128	8319	185160
129	8407	185608
130	8470	185513
131	8549	185764
132	8624	185911
133	8697	186029
134	8759	185899
135	8832	186010
136	8910	186204
137	8976	186169
138	9024	185756
139	9107	186047
140	9170	185941
141	9224	185669
142	9268	185177
143	9321	184869
144	9393	184963
145	9472	185161
146	9547	185305
147	9599	184981
148	9657	184794
149	9729	184865
150	9797	184861
151	9861	184782
152	9916	184527
153	9992	184667
154	10061	184669
155	10107	184274
156	10174	184239
157	10246	184314
158	10309	184201
159	10369	184055
160	10415	183658
161	10476	183535
162	10535	183362
163	10600	183309
164	10674	183414
165	10753	183585
166	10836	183832
167	10907	183877
168	10961	183627
169	11029	183606
170	11092	183515
171	11150	183334
172	11228	183486
